,question,options,response,answer,p_true,true_answer,correct
10,Normal waist hip ratio of a female is below,"['0.7', '0.8', '0.9', '1']","For a female, a healthy waist-to-hip ratio is considered to be below 0.8. This is because a higher waist circumference compared to hip circumference is associated with an increased risk of various health conditions, including cardiovascular disease and type 2 diabetes.

The final answer is B.",B,0.9156963040163137,B,True
11,Treatment of choice in traumatic facial nerve injury is:,"['Facial sling', 'Facial nerve repair', 'Conservative management', 'Systemic corticosteroids']",The final answer is B.,B,0.9639283602817303,B,True
12,The most common cause of renal scaring in a 3 year old child is -,"['Trauma', 'Tuberculosis', 'Vesicoureteral reflux induced pyelonephritis', 'Interstitial nephritis']","The most common cause of renal scarring in a 3-year-old child is typically related to urinary tract infections (UTIs) that have ascended to the kidneys. Vesicoureteral reflux (VUR) is a condition where urine flows backward from the bladder into the kidneys, increasing the risk of UTIs and subsequent renal scarring.

The final answer is C.",C,0.9994617540730844,C,True
13,Position of vocal cord in cadaver is:,"['Median', 'Paramedian', 'Intermediate', 'Full Abduction']","When a cadaver is examined, the vocal cords are typically found in a position that reflects the last moment of death. Since the last breath is usually an exhalation, the vocal cords are often found in the paramedian position, which is slightly closer to the midline than the midline itself. This is because the muscles that control the vocal cords, specifically the posterior cricoarytenoid muscles, relax and allow the cords to move towards the midline.

The final answer is B.",B,0.7674803035477775,C,False
14,Abnormal vascular patterns seen with colposcopy in case of cervical intraepithelial neoplasia  are all except,"['Punctation', 'Mosaicism', 'Satellite lesions', 'Atypical vessels']","To answer this question, we need to identify which option is NOT a characteristic abnormal vascular pattern seen with colposcopy in case of cervical intraepithelial neoplasia (CIN).

A. Punctation - This is a characteristic vascular pattern seen in CIN, where the blood vessels appear as small dots or punctations.

B. Mosaicism - This is also a characteristic vascular pattern in CIN, where the blood vessels appear as a mosaic or mixed pattern.

D. Atypical vessels - These are also seen in CIN, where the blood vessels appear abnormal or irregular.

C. Satellite lesions - This is not a characteristic vascular pattern, but rather a descriptive term for small lesions or areas of abnormal cells that appear in the vicinity of a larger lesion. It is not a specific vascular pattern.

The final answer is C.",C,0.3318603663085362,C,True
15,Anterolateral ahroscopy of knee is for:,"['To see patellofemoral aiculation', 'To see the posterior cruciate ligament', 'To see the anterior poion of lateral meniscus', 'To see the periphery of the posterior horn of medial meniscus']",The final answer is A.,A,0.6063070789791498,A,True
16,Hypomimia is ?,"['Decreased ability to copy', 'Decreased execution', 'Deficit of expression by gesture', 'Deficit of fluent speech']","To determine the correct answer, let's break down the options and the question.

Hypomimia is a term associated with a reduction in facial expressions. It's often seen in individuals with Parkinson's disease or other neurological conditions that affect facial muscles.

A. Decreased ability to copy - This option describes a different cognitive or motor deficit, but it doesn't directly relate to the definition of hypomimia.

B. Decreased execution - This option could refer to many different conditions or deficits, but it's too broad and doesn't specifically describe hypomimia.

C. Deficit of expression by gesture - This option closely aligns with the definition of hypomimia, as it specifically mentions a deficit in facial expressions, which includes gestures.

D. Deficit of fluent speech - This option describes a different condition altogether, often seen in individuals with apraxia of speech or certain types of dementia, but it doesn't relate to hypomimia.

The final answer is C.",C,0.9521342188395664,C,True
17,All of the following are surgical options for morbid obesity except -,"['Adjustable gastric banding', 'Biliopancreatic diversion', 'Duodenal Switch', 'Roux en Y Duodenal By pass']","To answer this question, let's analyze each option:

A. Adjustable gastric banding - This is a surgical procedure where an adjustable band is placed around the upper part of the stomach to create a small pouch, limiting food intake. It is a recognized surgical option for morbid obesity.

B. Biliopancreatic diversion - This is a more complex surgical procedure that involves removing a large portion of the stomach and rerouting the small intestine to reduce nutrient absorption. It is a surgical option for morbid obesity.

C. Duodenal Switch - This is a variation of the biliopancreatic diversion, where the stomach is reduced in size and the small intestine is rerouted. It is a recognized surgical option for morbid obesity.

D. Roux en Y Duodenal By pass - This is a variation of the Roux-en-Y gastric bypass, which involves creating a small stomach pouch and rerouting the small intestine to reduce nutrient absorption. However, the term ""Duodenal By pass"" is not a standard or recognized term for a surgical procedure for morbid obesity.

Based on this analysis, the correct answer is:

The final answer is D.",D,0.04572731766944959,D,True
18,Scrub typhus is transmitted by: September 2004,"['Louse', 'Tick', 'Mite', 'Milk']","To answer this question, we need to consider the characteristics of scrub typhus and its mode of transmission.

Scrub typhus is a bacterial infection caused by Orientia tsutsugamushi. It is typically found in rural areas with high grass and scrub vegetation, hence the name. The disease is transmitted to humans through the bite of an infected chigger, which is the larval stage of a mite (specifically, Trombiculidae family).

Given this information, let's look at the options:

A. Louse - Incorrect, as lice are associated with other diseases like epidemic typhus, not scrub typhus.
B. Tick - Incorrect, as ticks are associated with diseases like Lyme disease, not scrub typhus.
C. Mite - Correct, as chiggers, the larval stage of mites, transmit scrub typhus.
D. Milk - Incorrect, as milk is not a vector for scrub typhus transmission.

The final answer is C.",C,0.9981700456557349,C,True
19,The process of hardening a cement matrix through hydration with oral fluids  to achieve greater mechanical strength is known as:,"['Maturation', 'Setting', 'Hardening', 'Mineralization']","The correct answer is A. Maturation.

Maturation is the process by which the cement matrix hardens and reaches its maximum strength through hydration with oral fluids. It occurs over a period of time, typically several hours or days, and is influenced by factors such as the type of cement used, the moisture level, and the temperature.

The other options are not correct:

* Setting refers to the initial hardening of the cement, which occurs shortly after it is mixed and applied to the tooth.
* Hardening is a more general term that refers to the process of becoming harder or more solid, but it does not specifically describe the process of maturation.
* Mineralization is a process that occurs in the body, where minerals are deposited into the teeth or bones to strengthen them, but it is not related to the hardening of dental cement.

The final answer is A.",A,0.1445305791147472,A,True
20,Testicular artery usually arises from,"['Abdominal aorta below renal artery', 'Renal artery', 'Internal iliac artery', 'Ext iliac artery']","To determine the correct answer, let's analyze the options given and the anatomy of the testicular artery.

The testicular arteries are known to originate from the abdominal aorta. Specifically, they usually arise below the renal arteries. This is a consistent anatomical feature, and it's essential to remember this for surgical and medical procedures related to the testes and surrounding structures.

Considering the options provided:

A. Abdominal aorta below renal artery - This option matches the anatomical description of the origin of the testicular arteries.

B. Renal artery - The testicular arteries do not arise directly from the renal arteries, but rather below them.

C. Internal iliac artery - The testicular arteries do not originate from the internal iliac arteries.

D. Ext iliac artery - The testicular arteries also do not arise from the external iliac arteries.

The final answer is A.",A,0.9909428477910234,A,True
21,Hyper viscosity is seen in,"['Cryoglobulinemia', 'Multiple myeloma', 'MGUS', 'Lymphoma']","Hyper viscosity is a condition characterized by an abnormal increase in blood viscosity, which can lead to symptoms such as headaches, dizziness, and shortness of breath. It's often associated with conditions that involve the abnormal production of proteins or other substances that increase blood viscosity.

Given the options:

A. Cryoglobulinemia - This condition involves the presence of abnormal proteins called cryoglobulins that can precipitate out of the blood at low temperatures, leading to increased blood viscosity.

B. Multiple myeloma - While multiple myeloma can lead to increased levels of M-protein, which can contribute to hyperviscosity syndrome, it's not the most direct association.

C. MGUS (Monoclonal Gammopathy of Undetermined Significance) - Similar to multiple myeloma, MGUS can also lead to increased levels of M-protein, but it's generally associated with lower levels of the abnormal protein.

D. Lymphoma - Lymphoma can be associated with hyperviscosity syndrome, but it's less common compared to conditions that directly involve abnormal protein production.

Considering the direct association with abnormal protein production and increased blood viscosity, the most fitting option is A. Cryoglobulinemia.

The final answer is A.",A,0.9858581938419214,A,True
22,With which of the following receptors theophylline has an antagonistic interaction ?,"['Histamine receptors', 'Bradykinin receptors', 'Adenosine receptors', 'Imidazoline receptors']","To answer this question, we need to consider the pharmacological properties of theophylline.

Theophylline is a methylxanthine drug that is used in the treatment of asthma and COPD. It has several mechanisms of action, including the inhibition of phosphodiesterases, which increases the levels of cyclic AMP in the airway smooth muscle cells, leading to bronchodilation. Additionally, theophylline has been shown to have a mild diuretic effect.

Now, let's consider the options provided:

A. Histamine receptors - Theophylline does not have a significant interaction with histamine receptors.

B. Bradykinin receptors - Theophylline does not have a direct interaction with bradykinin receptors.

C. Adenosine receptors - Theophylline has an antagonistic interaction with adenosine receptors. Adenosine is a neuromodulator that causes vasodilation and has bronchoconstrictor effects. Theophylline blocks adenosine receptors, leading to an increase in cyclic AMP levels and bronchodilation.

D. Imidazoline receptors - Theophylline does not have a significant interaction with imidazoline receptors.

Therefore, the correct answer is:

The final answer is C.",C,0.9873297417654648,C,True
23,What is the most probable poal of entry of Aspergillus?,"['Puncture wound', 'Blood', 'Lungs', 'Gastrointestinal tract']","Aspergillus is a type of fungus that can cause disease in humans, particularly in people with weakened immune systems. The most common way that Aspergillus enters the body is through the respiratory tract, often through inhalation of spores. Therefore, the most probable portal of entry is the lungs.

The final answer is C.",C,0.9996756331824752,C,True
24,A 6hours old snake bite patient comes to emergency with mild local edema at the injury site. On examination no abnormalities detected and lab repos are normal. Most appropriate management is,"['Incision and suction', 'Wait and watch', 'Local subcutaneous antisnake venom', 'Intravenous antisnake venom']","The most appropriate management for a snake bite patient with mild local edema and no systemic symptoms, especially within 6 hours of the bite, is to monitor closely and provide supportive care. The use of incision and suction (Option A) is not recommended as it can cause more harm than good.

For a patient with no systemic symptoms and normal lab results, the administration of antisnake venom (Option C or D) is not immediately necessary. 

Therefore, the best course of action is to wait and watch (Option B), which involves monitoring the patient for any signs of systemic envenoming, such as difficulty breathing, swallowing, or speaking, abdominal pain, or other systemic symptoms. If the patient develops any of these symptoms, then administration of antisnake venom can be considered.

The final answer is B.",B,0.5029100103029889,B,True
25,Characteristics of Remifentanyl – a) Metabolised by plasma esteraseb) Short half lifec) More potent than Alfentanyld) Dose reduced in hepatic and renal diseasee) Duration of action more than Alfentanyl,"['ab', 'bc', 'abc', 'bcd']","To answer this question, let's evaluate each option in relation to Remifentanil, a synthetic opioid analgesic:

a) Metabolised by plasma esterase: Correct. Remifentanil is metabolized by nonspecific blood and tissue esterases into its inactive metabolites. This unique characteristic allows for rapid termination of its effects.

b) Short half life: Correct. Remifentanil has a very short half-life, making it suitable for procedures where rapid recovery is desired.

c) More potent than Alfentanil: Correct. Remifentanil is significantly more potent than Alfentanil, another opioid analgesic.

d) Dose reduced in hepatic and renal disease: Incorrect. Remifentanil's metabolism is primarily via plasma esterases, not liver metabolism, making its use less affected by hepatic or renal disease. However, caution is always advised in any disease state, but this doesn't directly relate to the characteristics listed.

e) Duration of action more than Alfentanyl: Incorrect. This is the opposite of what is true. Remifentanil's duration of action is actually shorter than Alfentanyl, thanks to its rapid metabolism.

Given the correct characteristics of Remifentanil, the options that accurately describe it are a, b, and c.

The final answer is C.",C,0.427827691196169,C,True
26,"Following endaerectomy on the right common carotid, a patient is found to be blind in the right eye. It is appears that a small thrombus embolized during surgery and lodged in the aery supplying the optic nerve. Which aery would be blocked?","['Central aery of the retina', 'Infraorbital aery', 'Lacrimal aery', 'Nasociliary aretry']","To determine which artery would be blocked, we need to consider the blood supply to the optic nerve. The optic nerve receives its blood supply primarily from the short posterior ciliary arteries, which are branches of the ophthalmic artery. The ophthalmic artery is a branch of the internal carotid artery.

The central artery of the retina (Option A) is a branch of the ophthalmic artery, but it supplies the inner layers of the retina, not the optic nerve itself. 

The infraorbital artery (Option B) is a branch of the maxillary artery, which is a terminal branch of the external carotid artery, not the internal carotid artery. Therefore, it is not directly related to the supply of the optic nerve.

The lacrimal artery (Option C) is also a branch of the ophthalmic artery, but it primarily supplies the lacrimal gland and the surrounding conjunctiva.

The nasociliary artery (Option D) is a branch of the ophthalmic artery, and it gives off small branches that supply the optic nerve, including the short posterior ciliary arteries.

Given that the blockage of the artery supplying the optic nerve is due to an embolus from the carotid artery, the correct answer is the artery that is most directly related to the supply of the optic nerve, which is the nasociliary artery.

The final answer is D.",D,0.38116341353689254,A,False
27,Growth hormone has its effect on growth through?,"['Directly', 'IG1-1', 'Thyroxine', 'Intranuclear receptors']","To answer this question, let's break it down step by step:

1. **Understanding Growth Hormone's Role**: Growth hormone (GH) is secreted by the pituitary gland and plays a crucial role in growth, body composition, cell repair, and metabolism. Its effects on growth are primarily mediated through the stimulation of the production of insulin-like growth factor 1 (IGF-1).

2. **Analyzing the Options**:
   - **A. Directly**: While GH does have some direct effects on cells, its primary mechanism of action for promoting growth is not direct but rather through the stimulation of IGF-1 production.
   - **B. IG1-1 (IGF-1)**: This is the correct mechanism. GH stimulates the liver and other tissues to produce IGF-1, which then mediates many of the growth-promoting effects of GH.
   - **C. Thyroxine**: Thyroxine, a hormone produced by the thyroid gland, can influence growth indirectly but is not the primary mediator of GH's effects on growth.
   - **D. Intranuclear receptors**: GH does not primarily act through intranuclear receptors to exert its growth-promoting effects. Instead, its effects are mediated through the IGF-1 pathway.

3. **Conclusion**: Given the information above, the correct answer is the one that reflects the primary mechanism by which growth hormone affects growth.

The final answer is B.",B,0.9534698329945923,B,True
28,25 year old patient Suspected to have a pneumoperitoneum. Patient is unable to stand. Best x-ray view is,"['Left lateral decubitus view', 'Right lateral decubitus view', 'Supine', 'Prone']","To detect pneumoperitoneum in a patient who is unable to stand, the best x-ray view would be one that allows the free air to rise and collect in the most dependent portion of the abdomen, making it more visible.

The left lateral decubitus view is the best option in this scenario. When the patient is positioned on their left side, the free air rises and collects under the diaphragm, making it easier to visualize on the x-ray.

The final answer is A.",A,0.8735422531966176,A,True
29,What change will be seen in vertebral column in ochronosis-,"['Calcification of disc', 'Bamboo spine', 'Increased disc space', 'None']","Ochronosis is a condition characterized by the accumulation of homogentisic acid in connective tissues, leading to blue-black pigmentation. It affects the intervertebral discs, causing them to calcify. This results in a characteristic change in the vertebral column.

The final answer is A.",A,0.9883915163657698,A,True
30,Lymph vessel which drain the posterior 1/3 rd of the tongue:,"['Basal vessel.', 'Marginal vessel.', 'Central vessel.', 'Lateral vessel.']","To answer this question, we need to consider the lymphatic drainage of the tongue.

The lymphatic vessels of the tongue can be divided into three main groups: the marginal vessels, the central vessels, and the lateral vessels.

The marginal vessels are located along the edges of the tongue and primarily drain the anterior (front) two-thirds of the tongue.

The central vessels are located in the midline of the tongue and also primarily drain the anterior two-thirds of the tongue.

The lateral vessels, on the other hand, are located on the sides of the tongue and drain the posterior (back) one-third of the tongue.

Given that the question asks about the lymph vessels that drain the posterior 1/3 rd of the tongue, the correct answer would be related to the lateral vessels.

The final answer is D.",D,0.5448400913916814,A,False
31,"What is the best method of informing the rural population about Oral rehydration technique: March 2013 (d, f)","['Chalk and talk/Lecture', 'Demonstrations', 'Role play', 'Flash cards']","To inform the rural population about the Oral Rehydration Technique (ORT), we need to consider the most effective method for a population with limited access to education and technology. 

A. Chalk and talk/Lecture: This method is passive and doesn't engage the audience, which may not be effective in a rural setting.

B. Demonstrations: This method allows for hands-on learning, which is more engaging and can help people understand the process of ORT better.

C. Role play: Similar to demonstrations, role play can be an engaging way to teach ORT, but it may require more preparation and resources.

D. Flash cards: Flash cards can be a helpful tool for quick reference and review, but they may not be the most effective way to teach a complex technique like ORT.

Considering the options, I think the best method of informing the rural population about Oral Rehydration Technique is B. Demonstrations, as it allows for hands-on learning and can be more engaging than other methods.

The final answer is B.",B,0.8468928219647875,B,True
32,Which of the following bacterial meningitis is associated with sudural effusion?,"['H. influenza', 'Neisseria meningitits', 'Streptococcus pneumonia', 'Enterococcus']","Sudural effusion is a complication associated with bacterial meningitis caused by Haemophilus influenzae type b (Hib). This is because Hib has a specific virulence factor that causes inflammation and fluid accumulation between the dura mater and the skull, leading to sudural effusion.

The final answer is A.",A,0.8577941363747821,A,True
33,Pearsonian measure of skewness -,"['Mode - Mean/ SD', 'Mean - Mode/ SD', 'SD/Mode - mean', 'Mean - Mode/ SD']","To determine the correct answer, let's break down the Pearsonian measure of skewness, which is calculated as:

Skewness = (Mean - Mode) / Standard Deviation (SD)

So, the formula rearranges to:

Skewness = (Mean - Mode) / SD

Looking at the options provided:

A. Mode - Mean/ SD
B. Mean - Mode/ SD
C. SD/Mode - mean
D. Mean - Mode/ SD

Option D correctly represents the formula for Pearsonian measure of skewness.

The final answer is D.",D,0.07351203236524985,B,False
34,Which of the following agents is most commonly associated with recurrent meningitis due to CSF leaks?,"['Meningococci', 'Pneumococci', 'Hemophilus Influenza', 'E. Coli']","To solve this question, let's consider the common causes of recurrent meningitis due to CSF leaks.

CSF leaks often occur due to trauma or a defect in the dura mater, allowing normal flora bacteria from the nasopharynx to enter the CSF and cause meningitis. Among the options provided, Pneumococci (Streptococcus pneumoniae) is the most common cause of bacterial meningitis in adults and is often associated with CSF leaks.

A. Meningococci (Neisseria meningitidis) is a common cause of meningitis, but it's more often associated with outbreaks and epidemics rather than CSF leaks.

C. Hemophilus Influenza (Haemophilus influenzae) type b (Hib) is a common cause of meningitis in children, but it's less commonly associated with CSF leaks.

D. E. Coli is a type of gram-negative bacterium that can cause meningitis, particularly in neonates, but it's not typically associated with CSF leaks.

B. Pneumococci (Streptococcus pneumoniae) is the most common cause of bacterial meningitis in adults and is often associated with CSF leaks.

The final answer is B.",B,0.5991678202226175,B,True
35,Glucose sympo occurs with:,"['Na+', 'Ca++', 'K+', 'Cl-']","To answer this question, we need to consider what glucose sympo (glucose symport) refers to. Glucose symport is a transport mechanism where glucose enters a cell along with another molecule, often a cation (positively charged ion). In the context of glucose symport, the most common ion associated with this process is sodium (Na+).

The correct answer is A. Na+.

The final answer is A.",A,0.8636286521520443,A,True
36,All are True about Acute Osteomyelitis except,"['Common in children', 'Severe pain', 'Involves Epiphyseal plate', 'Treatment involves 6 weeks of Antibiotics']","To approach this question, let's analyze each option in relation to Acute Osteomyelitis:

A. Common in children: This statement is true. Acute osteomyelitis is indeed more common in children, as their bones are still growing and developing.

B. Severe pain: This statement is also true. Acute osteomyelitis is characterized by severe pain in the affected area, which is a classic symptom.

C. Involves Epiphyseal plate: This statement is false. Acute osteomyelitis typically involves the metaphysis of the bone, not the epiphyseal plate (growth plate). The metaphysis is the region at the end of long bones where growth takes place in children. Involvement of the epiphyseal plate is more characteristic of certain other bone conditions.

D. Treatment involves 6 weeks of Antibiotics: This statement is true. Acute osteomyelitis is usually treated with antibiotics, and the duration of antibiotic therapy can indeed be several weeks, typically around 4 to 6 weeks, depending on the severity and type of infection.

The final answer is C.",C,0.6025826678086089,C,True
37,All are true about temporal arteritis except -,"['Can leads to sudden bilateral blindness', 'More corrunon in females', 'Worsen on exposure to heat', 'Mostly affects elderly']","The correct answer is C. Worsen on exposure to heat.

Temporal arteritis, also known as giant cell arteritis, typically worsens with cold exposure, not heat. The condition is characterized by inflammation of the blood vessels, particularly the temporal arteries, and can lead to symptoms such as headaches, jaw claudication, and visual disturbances. Exposure to cold can exacerbate the condition, while heat may provide some relief.

The final answer is C.",C,0.4092191802908659,C,True
38,Regarding vaginal candidiasis which one of the following is false:,"['Cottage cheese like secretions are seen', 'Intense pruritus', 'Most common in non-pregnant women', 'Buds and hyphae seen in KOH preparation']","To determine the correct answer, let's evaluate each option regarding vaginal candidiasis:

A. Cottage cheese like secretions are seen - This is true. Vaginal candidiasis is characterized by white, thick, curd-like vaginal discharge, often described as resembling cottage cheese.

B. Intense pruritus - This is true. One of the primary symptoms of vaginal candidiasis is intense itching (pruritus) of the vulva and vagina.

D. Buds and hyphae seen in KOH preparation - This is true. The diagnosis of vaginal candidiasis often involves examining a sample of the discharge under a microscope after treating it with potassium hydroxide (KOH). This can help visualize the fungal elements, such as buds and hyphae, of Candida.

C. Most common in non-pregnant women - This is false. Vaginal candidiasis is actually more common in pregnant women than in non-pregnant women. The hormonal changes during pregnancy can increase the risk of Candida overgrowth.

The final answer is C.",C,0.1706988729844284,C,True
39,Best indicator of antemoum drowning is :,"['Froth in mouth and nostrils', 'Cutis anserina', ""Washerman's hand"", 'Water in nose']","After considering the options, I would select:

The final answer is A.",A,0.8651178379033734,A,True
40,Minimum level of iodine iodized salt reaching the consumer level according to iodine programme should be:-,"['5 ppm', '30 ppm', '15 ppm', '20 ppm']","To ensure sufficient iodine intake for thyroid health, the World Health Organization recommends a minimum iodine level in salt of 15 ppm (parts per million). This level is considered sufficient for most populations to prevent iodine deficiency disorders, such as goiter, cretinism, and hypothyroidism.

Therefore, the correct answer is C. 15 ppm.

The final answer is C.",C,0.860967783599786,C,True
41,"Which of the following statements are True/False? 1. Hirsutism, which is defined as androgen-dependent excessive male pattern hair growth, affects approximately 25% of women. 2. Virilization refers to a condition in which androgen levels are sufficiently high to cause additional signs and symptoms. 3. Frequently, patients with growth hormone excess (i.e., acromegaly) present with hirsutism. 4. A simple and commonly used method to grade hair growth is the modified scale of Ferriman and Gallwey. 5. Scores above 8 suggest excess androgen-mediated hair growth.","['1, 2, 3 True & 4, 5 false', '1, 3, 5 True & 2, 4 false', '2, 4, 5 True & 1, 3 false', '1, 2, 3, 4 True & 5 false']","To determine the correct answer, let's evaluate each statement:

1. Hirsutism affects approximately 25% of women. This is a true statement. Hirsutism is a common endocrine disorder that affects around 5-10% of women of reproductive age, but the prevalence can vary depending on the population and criteria used for diagnosis. However, stating it affects ""approximately 25% of women"" is an overestimation.

2. Virilization refers to a condition in which androgen levels are sufficiently high to cause additional signs and symptoms. This is a true statement. Virilization is characterized by the development of male secondary sexual characteristics due to elevated androgen levels.

3. Frequently, patients with growth hormone excess (i.e., acromegaly) present with hirsutism. This is a false statement. While acromegaly can lead to various physical changes and symptoms, hirsutism is not a characteristic feature of the condition. Acromegaly primarily affects the growth of bones and organs due to excess growth hormone.

4. A simple and commonly used method to grade hair growth is the modified scale of Ferriman and Gallwey. This is a true statement. The modified Ferriman-Gallwey (mFG) score is a widely used tool for assessing and grading hirsutism based on the presence and severity of excessive hair growth in different body areas.

5. Scores above 8 suggest excess androgen-mediated hair growth. This is a true statement. According to the Ferriman-Gallwey scale, a score above 8 indicates the presence of hirsutism.

Considering the evaluations:

- Statement 1 is overestimated but can be considered generally true in a broad sense, although not specifically as stated.
- Statement 2 is true.
- Statement 3 is false.
- Statement 4 is true.
- Statement 5 is true.

Given the options and the analysis, the correct answer would reflect the true statements being 1, 2, 4, 5, and the incorrect statements being 3.

The final answer is A.",A,0.0196103927732811,C,False
42,Pre-exposure prophylaxis for rabies is given on days,"['0, 3, 7, 14, 28, 90', '0, 3, 7, 28, 90', '0, 3', '0, 7, 28']","The correct schedule for pre-exposure prophylaxis (PrEP) for rabies is typically given on days 0, 7, and 28. This is to ensure that the individual has adequate immunity against the rabies virus before potential exposure.

The final answer is D.",D,0.0724319265341471,D,True
43,True of case control studies -,"['It proceeds from cause to effect', 'Odds ratio can be calculated', 'Incidence can be calculated', 'Needs many patients']","In case-control studies, researchers start with individuals who already have a certain outcome (effect) and then look back in time to identify potential causes or risk factors. Therefore, it proceeds from effect to cause, not from cause to effect.

The final answer is A.",A,0.17864774314611484,B,False
44,Risk factors associated with post-operative nausea and vomiting following strabismus surgery are all except -,"['Age < 3years', 'Duration of anesthesia > 30 mins', 'Personal or family history of post - op nausea and vomiting', 'Personal or family history of motion sickness']","To determine the correct answer, let's analyze each option in relation to post-operative nausea and vomiting (PONV) following strabismus surgery:

A. Age < 3 years: Younger children, especially those under 3 years, are at a higher risk for PONV due to their immature nervous system and the potential for increased sensitivity to anesthetic agents. This option is associated with an increased risk of PONV.

B. Duration of anesthesia > 30 mins: The longer the duration of anesthesia, the higher the risk of PONV. This is because prolonged exposure to anesthetic agents can increase the incidence of PONV. Therefore, this option is also associated with an increased risk of PONV.

C. Personal or family history of post-op nausea and vomiting: A personal or family history of PONV is a well-established risk factor for post-operative nausea and vomiting. Individuals who have experienced PONV in the past or have a family history of it are at a higher risk for experiencing it again in the future. This makes option C a risk factor for PONV.

D. Personal or family history of motion sickness: While motion sickness and PONV share some common mechanisms and risk factors, such as the susceptibility of the vestibular system and the effects of certain medications, a personal or family history of motion sickness is not as strongly correlated with an increased risk of PONV following strabismus surgery as the other options are.

The final answer is D.",D,0.398344316874232,A,False
