,reasoning,answer,confidence,question,actual,correct
0,"Natalia sold 48 clips in April. In May, she sold half of that which is 48 / 2 = 24. So she sold 48 + 24 = 72 clips altogether.",72.0,1.0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,True
1,"First, we need to convert 50 minutes into hours. Since there are 60 minutes in an hour, 50 minutes is equal to 50/60 = 5/6 hours. Then, multiply the hourly wage by the number of hours worked: 12 * (5/6) = 10.",10.0,0.99,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,True
2,"First, let's calculate how much money Betty initially has. It's half of the wallet's price, so $100 / 2 = $50. Then, her parents give her $15 and her grandparents give her $15 * 2 = $30. So, in total Betty's parents and grandparents give her $15 + $30 = $45. Adding that to her initial money, Betty now has $50 + $45 = $95. To find out how much more she needs, we subtract the money she currently has from the wallet's price: $100 - $95 = $5.",5.0,1.0,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,True
3,"First, we calculate the total number of pages Julie read yesterday and today. She read 12 pages yesterday. Since she read twice as many pages today, she read 12 * 2 = 24 pages today. The total pages she has read so far is 12 + 24 = 36 pages. The remaining number of pages is 120 - 36 = 84 pages. Half of 84 is 84 / 2 = 42.",42.0,1.0,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,True
4,"Calculate the total number of pages written per week, then multiply by the number of weeks in a year.",624.0,0.99,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,True
5,"First, calculate the number of purple flowers, which is 80% more than the number of yellow flowers. Then, calculate the total number of yellow and purple flowers. Finally, calculate the number of green flowers, which is 25% of the total number of yellow and purple flowers.",67.0,0.95,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,False
6,"Albert bought 2 large pizzas with 16 slices each and 2 small pizzas with 8 slices each. First, we calculate the total number of slices in the large pizzas by multiplying 2 by 16, which equals 32. Then we calculate the total number of slices in the small pizzas by multiplying 2 by 8, which equals 16. Finally, we add the total slices of large and small pizzas to find out the total number of slices Albert eats that day.",48.0,0.99,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,True
7,"Initially, the weight of the box and jelly beans was 2 pounds. Adding brownies tripled the weight, so the weight became 2 x 3 = 6 pounds. Adding 2 pounds of jelly beans made the weight 6 + 2 = 8 pounds. Finally, adding gummy worms doubled the weight, so the weight became 8 x 2 = 16 pounds.",16.0,1.0,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,True
8,"First, calculate the total spent on the items with receipts. Then, subtract the total spent and the remaining budget from the initial budget to find the cost of the shoes.",41.0,0.95,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,True
9,"Tina works 10 hours per day for 5 days. For the first 8 hours per day, she is paid $18.00 per hour. For the remaining 2 hours per day, she is paid $18.00 + $9.00 per hour, which is her overtime pay. First, calculate the regular pay for 8 hours per day: 8 hours * $18.00 per hour = $144.00 per day. Then, calculate the overtime pay for 2 hours per day: 2 hours * $27.00 per hour = $54.00 per day. Then, calculate the total pay per day: $144.00 + $54.00 = $198.00 per day. Finally, calculate the total pay for 5 days: $198.00 per day * 5 days = $990.00.",990.0,0.95,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,True
